id,orders
Prague_1_2024-03-16,5518.0586
Prague_1_2024-03-17,5518.0586
Prague_1_2024-03-18,5518.0586
Prague_1_2024-03-19,5518.0586
Prague_1_2024-03-20,5518.0586
Prague_1_2024-03-21,5518.0586
Prague_1_2024-03-22,5518.0586
Prague_1_2024-03-23,5518.0586
Prague_1_2024-03-24,5518.0586
Prague_1_2024-03-25,5518.0586
Prague_1_2024-03-26,5518.0586
Prague_1_2024-03-27,5518.0586
Prague_1_2024-03-28,5518.0586
Prague_1_2024-03-29,5465.065
Prague_1_2024-03-30,5465.065
Prague_1_2024-03-31,5465.065
Prague_1_2024-04-01,6259.336
Prague_1_2024-04-02,5518.0586
Prague_1_2024-04-03,5518.0586
Prague_1_2024-04-04,5518.0586
Prague_1_2024-04-05,5518.0586
Prague_1_2024-04-06,5518.0586
Prague_1_2024-04-07,5518.0586
Prague_1_2024-04-08,5518.0586
Prague_1_2024-04-09,5518.0586
Prague_1_2024-04-10,5518.0586
Prague_1_2024-04-11,5518.0586
Prague_1_2024-04-12,5518.0586
Prague_1_2024-04-13,5518.0586
Prague_1_2024-04-14,5518.0586
Prague_1_2024-04-15,5518.0586
Prague_1_2024-04-16,5518.0586
Prague_1_2024-04-17,5518.0586
Prague_1_2024-04-18,5518.0586
Prague_1_2024-04-19,5518.0586
Prague_1_2024-04-20,5518.0586
Prague_1_2024-04-21,5518.0586
Prague_1_2024-04-22,5518.0586
Prague_1_2024-04-23,5518.0586
Prague_1_2024-04-24,5518.0586
Prague_1_2024-04-25,5518.0586
Prague_1_2024-04-26,5518.0586
Prague_1_2024-04-27,5518.0586
Prague_1_2024-04-28,5518.0586
Prague_1_2024-04-29,5518.0586
Prague_1_2024-04-30,5518.0586
Prague_1_2024-05-01,5465.065
Prague_1_2024-05-02,5518.0586
Prague_1_2024-05-03,5518.0586
Prague_1_2024-05-04,5518.0586
Prague_1_2024-05-05,5518.0586
Prague_1_2024-05-06,5518.0586
Prague_1_2024-05-07,5518.0586
Prague_1_2024-05-08,6259.336
Prague_1_2024-05-09,5518.0586
Prague_1_2024-05-10,5518.0586
Prague_1_2024-05-11,5518.0586
Prague_1_2024-05-12,5518.0586
Prague_1_2024-05-13,5518.0586
Prague_1_2024-05-14,5518.0586
Prague_1_2024-05-15,5518.0586
Brno_1_2024-03-16,5518.0586
Brno_1_2024-03-17,5518.0586
Brno_1_2024-03-18,5518.0586
Brno_1_2024-03-19,5518.0586
Brno_1_2024-03-20,5518.0586
Brno_1_2024-03-21,5518.0586
Brno_1_2024-03-22,5518.0586
Brno_1_2024-03-23,5518.0586
Brno_1_2024-03-24,5518.0586
Brno_1_2024-03-25,5518.0586
Brno_1_2024-03-26,5518.0586
Brno_1_2024-03-27,5518.0586
Brno_1_2024-03-28,5518.0586
Brno_1_2024-03-29,5465.065
Brno_1_2024-03-30,5465.065
Brno_1_2024-03-31,5465.065
Brno_1_2024-04-01,6259.336
